Code,FLEET NO.,REG NO.,OLB NO.,EXPIRY DATE,NOTE
PH,4215,CA259920,507535/5,,
,4216,OABSIWP,SCRAPPED,06/08/2009,
PH,4217,CA309050,503762/5,,
SF,4218,CA326888,74606402/2,,
PH,4219,CA376192,504158/4,,
SG,4220,CA40228,74606318/2,,
PH,4221,CA420721,1806089/2,,
SG,4222,CA432705,N/A,,PERMIT NOT IN FILE ?
PH,4223,CA465001,507563/7,,
SG,4224,CA52604,1863163/1,30/07/2028,
,4225,CA52759,SCRAPPED,01/02/2019,
SG,4226,CA52840,1864042/1,31/08/2028,
PH,4227,CA51776,1859409/1,30/04/2028,
SG,4228,CA52491,1806580/2,30/09/2029,
PH,4229,CA51911,1862746/1,30/07/2028,
SG,4230,CA52320,1863165/1,31/07/2028,
PH,4231,CA91498,1807134/2,30/09/2029,
SG,4232,CA91902,1896624/1,31/08/2027,
PH,4233,CA91832,1773625/3,31/07/2029,
SG,4234,CA91717,1773708/3,30/11/2029,
PH,4235,CA101111,1773707/3,31/07/2029,
SG,4236,CA100952,1773706/3,30/11/2029,
PH,4237,CA177381,1773700/3,31/07/2029,
SG,4238,CA177465,1773696/3,31/07/2029,
PH,4239,CA177500,1896625/1,30/09/2027,
SG,4240,CA177532,1773729/3,31/07/2029,
,4241,CA177557,17737725/3,31/01/2030,
,4242,CA177650,1773722/3,30/09/2029,
,4243,CA177807,1806093/2,30/11/2029,
,4244,CA177849,1773721/3,31/08/2029,
,4245,CA177873,507724/5,,
,4246,CA177991,SOLD,13/11/2020,
,4247,CA178082,1847043/3,31/08/2027,
,4248,CA178127,1773694/3,31/08/2029,
,4249,CAA66063,SOLD,26/03/2023,
,4250,CAA108946,1806088/3,30/11/2029,
,4251,CAA105495,1794869/3,30/08/2028,
,4261,CA506975,1773580/3,30/11/2029,
,4262,CA506979,1773689/3,30/09/2029,
,4263,CA506957,1773683,31/01/2030,
,4264,CA506929,SCRAPPED,07/12/2020,
,4265,CA506885,1773349/3,31/01/2030,
,4266,CA506843,SCRAPPED,01/03/2018,
,4267,CA506814,1773345/3,31/07/2029,
,4268,CA506797,SCRAPPED,10/05/2019,
,4269,CA515735,1773444/3,31/01/2030,
,4270,CA515427,1773434/3,31/07/2029,
,4271,CA515456,1773338/3,31/07/2029,
,4272,CA515482,1773337/3,31/08/2029,
,4273,CA515515,1773334/3,31/07/2029,
,4274,CA515549,SCRAPPED,10/03/2022,
,4275,CA515597,1773321/3,31/08/2029,
,4276,CA515639,1773424/3,31/01/2030,
,4277,CA515654,1773319/3,31/08/2029,
,4278,CA515698,1773318/3,31/07/2029,
,4279,CA515714,SCRAPPED,31/05/2016,
,4280,CA515813,1773782/3,31/08/2029,
,4281,CA534496,1773512/3,31/07/2027,
,4282,CA534568,1773775/3,30/09/2029,
,4283,CA534290,1805324/2,31/07/2029,
,4284,CA534173,1773773/3,31/08/2029,
,4285,CA534213,1773769/3,30/09/2029,
,4286,CA534244,SCRAPPED,25/08/2023,
,4287,CA534274,1773758/3,30/09/2029,
,4288,CA534494,1823365/1,31/01/2024,
,4289,CA534324,1773750/3,31/01/2030,
,4290,CA534313,1824796/1,31/05/2024,
,4291,CA470467,1773748/3,31/08/2029,
,4292,CA486968,1773743/3,31/01/2030,
,4293,CA497214,1773313/3,31/07/2029,
,4294,CA543467,1773312/3,31/07/2029,
,4295,CA543608,1773311/3,31/08/2029,
,4296,CA543729,1773307/3,31/07/2029,
,4297,CA543745,SCRAPPED,30/10/2009,
,4298,CA543764,SCRAPPED,25/11/2010,
,4299,CA543784,1804887/2,31/03/2030,
,4300,CA543828,SCRAPPED,25/05/2022,
,4301,CA1871114,1773623/3,31/01/2030,
,4302,CA204256,1773620/3,31/03/2030,
,4303,CA207173,1896620/2,31/08/2027,
,4304,CA419739,1773619/3,31/08/2029,
,4305,CA264617,SCRAPPED,31/05/2016,
,4306,CA306646,1773619/3,30/11/2029,
,4307,CA343829,SCRAPPED,31/12/2015,
,4308,CA40520,1773610/3,31/01/2030,
,4309,CA379561,1773596/3,30/09/2030,
,4310,CA394503,1773590/3,31/01/2030,
,4311,CA561905,SCRAPPED,07/06/2018,
,4312,CA565367,1896622/1,31/05/2027,
,4313,CA562006,1773811/3,31/01/2030,
,4314,CA562053,1773503/3,31/01/2030,
,4315,CA562090,1804935/2,31/01/2030,
,4316,CA562128,1887361/1,30/09/2029,
,4317,CA562155,SCRAPPED,20/10/2022,
,4318,CA562189,1804942/2,31/01/2030,
,4319,CA56225,1806936/3,31/10/2029,
,4320,CA562291,1804931/2,31/01/2030,
A,4321,CA562323,1804908/2,31/01/2030,
A,4322,CA562350,1896628/1,30/09/2027,
A,4323,CA562359,1804875/2,30/09/2029,
A,4324,CA562381,1896629/1,31/08/2027,
A,4325,CA562415,1896627/1,31/10/2027,
A,4326,CA565426,1806935/2,30/09/2029,
A,4327,CA565447,1899818/1,31/08/2028,
A,4328,CA565455,1804879/2,31/08/2029,
A,4329,CA565320,1896616/1,31/08/2027,
A,4330,CA565330,1804878/2,30/09/2029,
A,4331,CA18110,1804877/2,30/09/2029,
,4332,CA199701,SCRAPPED,30/07/2019,
A,4333,CA214216,1804952/2,31/08/2029,
,4334,CA229528,SCRAPPED,07/02/2023,
A,4335,CA250035,1773648/3,30/09/2029,
,4336,CA00000,SCRAPPED,15/07/2014,
A,4337,CA273737,1773643/3,31/08/2029,
A,4338,CA30134,1773641/3,30/11/2029,
A,4339,CA316615,1773369/4,30/09/2030,
A,4340,CA367926,1773464/3,30/09/2029,
A,4341,CA388626,1773374/3,31/08/2029,
A,4342,CA21129,1773367/3,31/08/2029,
A,4343,CA199234,1773681/4,31/01/2030,
A,4344,CA174385,1896621/1,30/09/2027,
A,4345,CA158343,1773359/3,30/09/2029,
A,4346,CA156624,1773354/3,31/07/2029,
A,4347,CA150845,1773421/3,30/09/2029,
,4348,CA132545,SCRAPPED,09/04/2015,
A,4349,CA123512,1773410/3,31/07/2029,
,4350,CA581815,SCRAPPED,2015/03/12,
A,4351,CA370688,1804953/2,30/09/2029,
A,4352,CA387177,1804954/2,31/07/2029,
A,4353,CA397814,1784725/3,30/09/2029,
A,4354,CA42318,504145/3,,
A,4355,CA51187,REPLACEMENT IN PROGRESS (4162),,
A,4356,CA426479,1806882/2,30/09/2029,
A,4357,CA496063,504012/3,,
A,4358,CA592749,504138/3,,
A,4359,CA514156,1806880/2,30/09/2029,
A,4360,CA543334,503970/3,,
,4361,CA565078,SCRAPPED,26/10/2011,
A,4362,CA592526,504005/5,,
A,4363,CA592553,503782/3,,
A,4364,CA592568,507588/6,,
A,4365,CA592581,504202/5,,
A,4366,CA592596,507652/5,,
A,4367,CA592607,503922/6,,
A,4368,CA592660,507493/3,,
A,4369,CA592704,503766/3,,
A,4370,CA592820,507622/5,,
A,4371,CA626504,1773400/3,31/01/2030,
,4372,CA622187,SCRAPPED,30/09/2029,
A,4373,CA619367,1773642/3,30/09/2029,
A,4374,CA615852,1773636/3,31/07/2027,
,4375,CA376386,SCRAPPED,03/11/2015,
A,4376,CA606628,1773637/3,31/07/2029,
A,4377,CA603957,1773635/3,31/08/2029,
A,4378,CA596854,1773634/3,31/07/2029,
A,4379,CA594361,1899322/2,31/07/2030,
A,4380,CA589282,1896619/1,31/08/2029,
A,4381,CA12764,1773817/3,31/08/2027,
A,4382,CA231015,1773816/3,30/09/2029,
A,4383,CA245404,1773678/3,31/08/2029,
A,4384,CA21356,1804949/2,30/09/2029,
A,4385,CA206053,1773676/3,31/08/2029,
